disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,sasa_area,sasa_volume,ip,ea,LFCs_N_H_0,LFqCs_N_H_0,LFCs_N_H_1,LFqCs_N_H_1,LFCs_N_H_2,LFqCs_N_H_2
147.616,124.922,13.679,36.856,7.624,238.869,314.299,12.204,0.901,5.995,3291.622,6.033,3283.83,5.486,3132.748
219.5121154145551,199.07698029968313,16.928550965288196,42.67606559925685,8.399447704160927,339.1195466890266,484.6919452608563,11.26819279954001,6.346010265132225,5.938914938104082,3272.8586370284356,5.844962589418781,3267.0743615470187,5.896952237662632,3263.7893982676105
158.671,138.559,15.979,37.616,9.006,260.182,352.917,12.527,5.75,5.933,3269.462,5.92,3285.177,5.914,3267.667
128.096,104.24,13.035,29.142,8.097,216.8,274.474,13.125,1.425,6.021,3306.352,6.049,3307.048,6.058,3305.819
149.201,126.473,13.87,34.655,8.608,239.48,315.738,12.229,1.053,6.036,3299.147,5.962,3287.633,5.987,3299.362
168.504,149.096,14.585,31.521,9.049,258.61,354.45,11.838,1.106,5.846,3272.082,5.924,3282.24,5.761,3271.902
185.2390035948573,171.07735496387653,14.996265809009607,37.787526178454065,9.252289788571884,278.34204701354093,393.2892473635708,11.911196093264056,1.3010914723665485,5.895766873201067,3262.434636713348,5.864947689551245,3262.464068061794,5.884361632700356,3270.262668401876
160.47252326110504,140.0185553575207,13.939865908780716,33.5183278552512,8.361809843418374,251.09525772671776,338.78279409159495,12.368720449272185,1.2117598502426046,5.892879925121302,3263.896809476788,5.915014016340585,3266.2000483941774,5.926162123900454,3270.1085222548754
235.454,219.695,17.86,40.751,8.598,352.762,520.621,11.176,6.564,5.917,3268.002,5.937,3269.866,5.896,3259.544
118.504,93.486,12.442,27.625,7.826,200.81,246.71,12.972,1.06,6.093,3310.051,6.382,3308.801,6.315,3303.901
221.661,201.11,17.115,41.783,8.392,333.862,481.717,11.381,6.405,5.887,3261.363,5.94,3273.807,5.941,3274.766
183.873,163.29,16.253,38.66,8.462,288.501,402.643,12.167,5.526,5.899,3265.213,5.94,3274.379,5.932,3277.055
173.97650759819402,153.73960864180202,16.62341841229491,37.422817438693926,8.462,276.59735340491727,381.23011684311393,11.850999999999999,6.140467975573767,5.91121178016391,3277.9906301170795,5.941058900819552,3278.1701341719454,5.9682117801639105,3286.993133708842
239.26000527544593,227.92843754046874,16.07573147516011,37.9061011690809,8.166139091492782,350.43745280183083,522.0367697211241,11.761588662093502,4.844536668622041,5.897905990787192,3260.096363461424,5.874899828280673,3255.536258451298,5.886973575219666,3257.8128376145705
207.00312843043724,194.47801456426222,15.424748653273618,35.34742600923241,8.632842039694907,303.38177342317414,438.74194621894,11.656796856982405,1.2495022957297737,5.878006230783645,3257.379018101893,5.873080101643247,3259.3340084730394,5.879860491825029,3258.764824149089
146.6917682451231,121.06568269771786,14.031064642556643,27.530941018232546,7.502659242191175,247.18210371509804,321.1749135202064,12.22831966648257,2.8938683506862755,6.038497044749455,3286.2026619193375,5.939500591050109,3279.652333978154,6.036341939909041,3282.629199278738
138.8073617207482,113.79286055229703,13.94673015217047,28.911848341297972,8.149774578247799,236.06690114580573,304.50841204569497,13.19340422318336,4.312506924661987,5.982495269581726,3285.0002447566853,5.933989442041597,3288.431899635423,6.0114158782636204,3289.856900319285
323.2406631248085,305.25218827572496,18.409039495398787,45.29048206089672,8.855929125313718,468.7690631202942,712.5305123550265,10.20553543734314,7.748,5.832551126986888,3248.391629733494,5.862535437343141,3253.9817002690324,5.855748061401982,3251.9615217597266
142.03025364539408,117.77436557894835,13.245272309246724,30.647940025288886,8.008800452457033,229.83254137249705,296.2347716083211,12.440130179266957,1.170913590869556,5.84892667272495,3287.3176746007675,6.027471856789692,3288.121987581586,5.42160324091492,3286.5997580587646
220.21903368373734,202.98737751278705,16.613601527500574,39.9317928113138,8.675478055294997,350.4395680630198,522.0150157571032,13.099160695275325,7.0669594590785305,5.886152009418654,3259.059252081696,5.875083440304793,3262.2203653501488,5.86860925885591,3261.1750110325443
258.2938297331575,243.46676752205238,17.997575176044176,44.583727843615605,8.713871843179106,378.8131512719562,567.4420050085098,10.99054449736267,6.390017176198696,5.86924405696215,3253.250217071011,5.886133750000024,3258.551463208234,5.866821233799218,3254.6940052157493
332.7472247884402,318.95947476540545,18.58683846221789,44.608907516366784,8.836595346493592,485.99980476555515,747.9197620920786,10.756948452515877,6.970523573028671,5.867260659694991,3254.497064469264,5.868809234286862,3254.6022245932472,5.866032055519836,3253.498067481556
328.2519075145369,314.9292499096678,18.42780329517649,41.91406702849335,8.611110186885675,480.45376672639,734.3763222016503,10.514531806312474,6.8067029535896495,5.902666224627758,3260.112132850067,5.8812249146032896,3255.8879781786727,5.87974753867529,3256.7191087192145
230.09311358226282,212.74160969789023,17.731814370018117,41.98542911358517,8.554658699249392,349.17902998324087,507.3189385670389,11.640370629072281,5.672127456783456,5.90125273531321,3263.8284256334637,5.942781692116949,3269.19795828013,5.9587338806161725,3271.837084910457
487.6546477221928,505.36961197525164,21.657617613890363,46.74721558398043,9.46306375726431,673.894761389036,1117.6390360618936,10.507535340553495,8.112611817775424,5.826994203885063,3243.628904427589,5.872487843906254,3261.5772352023864,5.7618064727515845,3238.9233705297156
489.6063180894068,509.17473785901484,21.535993920252718,46.579229133299016,9.429065445789014,675.73769821321,1114.412935306231,10.174892989201444,8.124785772379955,5.848575506764858,3248.6670768146255,5.902138671246073,3261.52767807473,5.856983828456892,3250.3940200620746
