 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  38   1     0.00   0.00  -0.00    -0.06  -0.04   0.00    -0.06   0.03   0.04
  39   1    -0.00   0.00  -0.01    -0.05  -0.05   0.01    -0.02  -0.03   0.04
  40   1    -0.00   0.00   0.00    -0.09  -0.03  -0.00    -0.09   0.01   0.10
  41   1    -0.00   0.00  -0.00    -0.08  -0.05   0.01    -0.08  -0.02   0.11
  42   1    -0.00  -0.00  -0.00    -0.08  -0.04   0.00    -0.06  -0.05   0.10
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    49.9000                64.6221                88.4913
 Red. masses --    12.3333                10.3856                15.8668
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.4799                 4.9584                12.5225
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   7    -0.09   0.00  -0.06     0.22   0.04   0.14    -0.21   0.05  -0.00
   2   6    -0.08  -0.01  -0.19     0.20   0.03   0.05    -0.02   0.05   0.03
   3   6    -0.04  -0.02  -0.08     0.16   0.01  -0.13     0.06  -0.14   0.04
   4   6     0.14  -0.14   0.01     0.03  -0.05  -0.15     0.04  -0.28   0.08
   5   6     0.10  -0.03   0.04     0.03  -0.10  -0.24     0.04  -0.35  -0.01
   6   6     0.10   0.23   0.22     0.03  -0.11  -0.24     0.07  -0.30  -0.02
   7   6     0.08   0.24   0.17     0.03   0.02  -0.09     0.01  -0.15  -0.00
   8   6     0.10   0.31   0.19    -0.04   0.06   0.04     0.06   0.01   0.01
   9   6     0.11   0.15   0.02    -0.01   0.19   0.31     0.00   0.12  -0.02
  10   6     0.13   0.04  -0.08    -0.08   0.05   0.33     0.05   0.14  -0.09
  11   6    -0.03   0.02  -0.10    -0.10   0.08   0.08     0.03   0.15  -0.14
  12   6    -0.08  -0.13  -0.11    -0.11  -0.07  -0.02    -0.08   0.04  -0.01
  13   6    -0.27  -0.17  -0.09    -0.17  -0.03  -0.26    -0.28  -0.02   0.10
  14  17    -0.09  -0.32   0.06    -0.14  -0.08   0.11     0.18   0.45   0.02
  15   1    -0.03   0.01  -0.03     0.08   0.03   0.12    -0.08   0.03  -0.06
  16   1    -0.04   0.02   0.01     0.11   0.02  -0.02    -0.10  -0.01   0.04
  17   1     0.00  -0.03   0.01    -0.02  -0.01   0.03    -0.00   0.03   0.01
  18   1    -0.06   0.02  -0.08     0.09   0.02   0.02     0.00   0.02   0.01
  19   1     0.00  -0.02  -0.09     0.03  -0.00   0.04     0.01   0.04   0.00
  20   1    -0.03   0.02   0.01     0.06   0.01  -0.05     0.00  -0.05   0.03
  21   1    -0.02  -0.00  -0.06     0.05   0.00  -0.05     0.05  -0.04  -0.01
  22   1     0.05  -0.09  -0.03    -0.00  -0.01  -0.03     0.01  -0.10   0.02
  23   1     0.08  -0.04   0.04    -0.00  -0.02  -0.03     0.01  -0.08   0.05
  24   1    -0.02  -0.01  -0.03     0.02  -0.03  -0.08     0.02  -0.10  -0.03
  25   1     0.06  -0.05   0.02    -0.00  -0.04  -0.07     0.00  -0.12  -0.00
  26   1     0.06   0.06   0.12     0.03  -0.03  -0.10     0.05  -0.08  -0.02
  27   1     0.00   0.12   0.05    -0.01  -0.06  -0.07     0.01  -0.10  -0.00
  28   1     0.02   0.07   0.03    -0.02   0.00  -0.01    -0.04  -0.04  -0.00
  29   1     0.02   0.05   0.05     0.05   0.02  -0.02     0.01  -0.04  -0.00
  30   1     0.01   0.08   0.10     0.02   0.02  -0.01     0.05   0.00   0.02
  31   1     0.05   0.14   0.05    -0.06  -0.01   0.01     0.01   0.01   0.00
  32   1     0.07   0.05  -0.01    -0.01   0.05   0.15    -0.02   0.03   0.01
